# Challenge catalogue — typical trials in children's adventure stories.
# Source: docs/challenge-catalogue.html (Thompson Motif-Index H-chapter, Propp, ATU, TV Tropes; 2026-08-21).
# Format: id|category|challenge|what it tests|age band|peril (1 = unsuitable for the youngest band)
# Categories: A=Physical barriers & terrain; B=Height, depth, reach & scale; C=Water & crossing; D=Weather & natural forces; E=Darkness, light & the senses; F=Locks, doors, thresholds & containers; G=Gatekeepers, permission & social barriers; H=Riddles, knowledge & puzzles; I=Impossible, absurd & paradoxical tasks; J=Speed & time pressure; K=Endurance, tedium & repetition; L=Herding & controlling the uncontrollable; M=Resource scarcity & provisioning; N=Repair, restore & make good; O=Navigation & being lost; P=Pursuit, escape & stealth; Q=Deception, trickery & trust; R=Identity, recognition & proof; S=Negotiation with creatures; T=Cooperation & teamwork; U=Rules, taboos & prohibitions; V=Moral choice & temptation; W=Fear & internal obstacles; X=Loss, sacrifice & letting go; Y=Transformation & the body; Z=Communication & language; AA=Contests & performance; BB=Tools, machines & making; CC=Systems, crowds & bureaucracy; DD=Care & rescue of others
1|A|A fallen tree lies across the only path|problem-framing, teamwork|3–5|0
2|A|A thorn hedge has grown over the entrance|patience, tool use|6–8|0
3|A|A gap in the ground is one step too wide to jump|risk judgement|6–8|0
4|A|The wall is smooth with nothing to grip|lateral thinking|6–8|0
5|A|The bridge has lost some of its planks|sequencing, care|6–8|0
6|A|The opening is too narrow for everyone to fit through|who goes, who waits|3–5|0
7|A|Deep mud grips the feet and holds them|persistence, mutual pulling|3–5|0
8|A|Loose stones slide you back down for every step up|perseverance|6–8|0
9|A|Identical passages branch and rebranch|systematic method|6–8|0
10|A|A cliff must be got down, not up|nerve, planning|9–12|1
11|A|A glassy, frictionless slope defeats climbing|invention over effort|6–8|0
12|A|The doorway is the wrong size for the traveller|adaptation|3–5|0
13|A|A dense crowd stands between you and the goal|politeness vs. urgency|3–5|0
14|A|The ground where the path was has simply gone|acceptance, re-planning|6–8|0
15|A|A surface that swallows whatever stands on it|hazard reading|9–12|1
16|A|Two moving masses close the only gap rhythmically|timing under threat|9–12|1
17|B|The wanted thing is stuck up in a tree|ingenuity, asking for help|3–5|0
18|B|The shelf is above the reach of everyone present|stacking, cooperation|3–5|0
19|B|Something has fallen into a gap too narrow for a hand|tool improvisation|3–5|0
20|B|The thing is visible behind glass but not reachable|frustration tolerance|3–5|0
21|B|The handle is above the height of the one who must open it|asking, improvising|3–5|0
22|B|The object is far too heavy for one person|recruiting help|3–5|0
23|B|The load is too heavy to lift but could be rolled or slid|physics reasoning|6–8|0
24|B|The hero is now too big for the entrance they used before|change over time|3–5|0
25|B|The thing is drifting away on water, just out of reach|speed of thought|3–5|0
26|B|What is needed is at the bottom of a heap of other things|sorting, patience|3–5|0
27|B|The goal lies at the bottom of deep water|limits, delegation|9–12|1
28|B|A thing must be got down from a height without breaking it|care under pressure|6–8|0
29|C|Open water with no crossing at all|route-finding|6–8|0
30|C|A crossing that only exists at certain hours (tide, sluice, lock)|waiting, timing|6–8|0
31|C|One stepping stone in the line is missing|reach, courage, help|3–5|0
32|C|The boat leaks faster than it can be baled|triage, teamwork|6–8|0
33|C|The one who keeps the crossing wants payment first|negotiation|6–8|0
34|C|Something carried must arrive completely dry|care, ingenuity|3–5|0
35|C|Water is rising while the work is unfinished|pressure, prioritising|9–12|1
36|C|The current is stronger than any swimmer|knowing your limits|9–12|1
37|C|A frozen surface that may or may not hold|judgement, caution|9–12|1
38|C|The goal is visible directly across an uncrossable gap|deferring gratification|3–5|0
39|C|The route is flooded and the detour is very long|acceptance of setback|6–8|0
40|C|A waterfall blocks the way upstream|finding another route|9–12|1
41|D|Fog erases every landmark at once|staying calm, roping together|6–8|0
42|D|Wind carries away the thing being carried|chasing, recovering|3–5|0
43|D|Heat and no shade|rationing, rest|6–8|0
44|D|Snow has covered every mark that showed the way|memory, alternate cues|6–8|0
45|D|The daylight is running out|pace, decisiveness|3–5|0
46|D|Rain has made the load twice as heavy|endurance, sharing weight|6–8|0
47|D|Hail forces an unplanned stop|making the best of it|3–5|0
48|D|The season is wrong: the river is dry, or frozen solid|adaptation|6–8|0
49|D|The spring everyone relies on has stopped flowing|diagnosis, service|6–8|0
50|D|Loose snow or rock above the path may come down|hazard awareness|9–12|1
51|D|A storm strands the party|shelter, morale|6–8|1
52|D|Fire spreading across the route|evacuation, warning others|9–12|1
53|E|Too dark to see the way forward|courage, feeling ahead|3–5|0
54|E|The lamp, torch or candle is burning down|rationing|6–8|0
55|E|Glare or reflected light makes looking impossible|shielding, angle|6–8|0
56|E|Something must be found by touch alone|sensory attention|3–5|0
57|E|Movement must be silent|self-control|3–5|0
58|E|A sound must be identified without seeing its source|inference|3–5|0
59|E|The way must be followed by smell or sound instead of sight|sensory substitution|6–8|0
60|E|One of the party cannot see or hear and must be guided|empathy, clear instruction|6–8|0
61|E|What looks like the goal turns out to be an illusion of light|scepticism|6–8|0
62|E|The familiar place is unrecognisable in the dark|perception vs. reality|3–5|0
63|E|A moving beam or reflection must be caught|playful impossibility|3–5|0
64|E|Complete silence must be held for a long stretch|endurance of stillness|6–8|0
65|F|A lock whose key is lost or somewhere unreachable|search, substitution|6–8|0
66|F|A container that simply will not open|strength, then cleverness|3–5|0
67|F|A door that opens only for the right kind of person|self-knowledge|6–8|0
68|F|A knot pulled far too tight|patience, dexterity|3–5|0
69|F|The door shuts and latches behind you|consequence, resourcefulness|6–8|0
70|F|An opening that appears only at one moment of the day|waiting, punctuality|6–8|0
71|F|The thing is sealed inside ice, wax or resin|patience, method|6–8|0
72|F|A mechanism that needs two people acting at once|coordination, trust|6–8|0
73|F|A lid too heavy or too stuck for the one who must open it|leverage|3–5|0
74|F|The entrance requires becoming smaller than you are|humility, transformation|6–8|0
75|F|The mechanism is complete but for one missing part|scavenging, matching|6–8|0
76|F|Whatever is opened must be left exactly as it was found|discipline, memory|9–12|0
77|G|A keeper who wants something in return before passing|trade, generosity|3–5|0
78|G|A keeper who refuses everyone because that is the rule|arguing well, respect|6–8|0
79|G|Someone is asleep across the way and must not be woken|stealth, kindness|3–5|0
80|G|A helper who insists on doing it their own very slow way|patience, tact|3–5|0
81|G|An official who needs the correct paper, token or stamp|procedure|9–12|0
82|G|A line of others waiting, which must not be jumped|fairness vs. urgency|3–5|0
83|G|Someone else got there first and holds the claim|negotiation, grace|6–8|0
84|G|A guardian who is testing kindness, not strength or wit|character over ability|6–8|0
85|G|A gate that will only admit one named person, who is not you|advocacy|9–12|0
86|G|Permission must come from someone a long way off|messaging, delay|6–8|0
87|G|The keeper has lost their own means of opening it|helping the obstacle|6–8|0
88|G|Others are let through and you specifically are not|unfairness, composure|6–8|0
89|G|Someone insists on coming along who should not|saying no kindly|3–5|0
90|G|A doorkeeper who judges by appearance|prejudice, proving worth|9–12|0
91|H|A riddle whose answer is an ordinary everyday thing|reframing|6–8|0
92|H|A password that must be discovered before it can be spoken|listening, deduction|6–8|0
93|H|Three questions must be answered before passing|composure under quizzing|6–8|0
94|H|A pair of informants, one of whom always lies|logic|9–12|0
95|H|Instructions written in a script nobody present can read|seeking expertise|6–8|0
96|H|A map with a piece torn out of the middle|inference, risk|6–8|0
97|H|A rhyme or song that secretly encodes the route|pattern-spotting|3–5|0
98|H|A "how many / how far" question that must be answered exactly|estimating|6–8|0
99|H|A being who must be called by its true, hidden name|observation, secrecy|6–8|0
100|H|Someone else's dream or memory must be reconstructed|interviewing|9–12|0
101|H|One item must be picked out of many identical ones|close attention|3–5|0
102|H|A single symbol must be interpreted correctly|inference from little|6–8|0
103|H|The answer exists but only one creature knows it, and it is far away|quest-within-quest|6–8|0
104|H|A long sequence must be repeated back in order|memory|3–5|0
105|H|A question whose only correct response is to refuse to answer|integrity, wit|9–12|0
106|H|What everyone "knows" about the obstacle turns out to be wrong|checking sources|9–12|0
107|I|Build something out of a material it cannot be built from|spotting the trick|6–8|0
108|I|Carry water in a vessel full of holes|lateral solution|3–5|0
109|I|Bring fruit or flowers out of season|resourcefulness, seasons|3–5|0
110|I|Wash something white that was never white|refusing a false premise|6–8|0
111|I|Mend a thing shattered past mending|substitution, honesty|6–8|0
112|I|Get a large object through a much smaller neck|change of state|6–8|0
113|I|Count something that cannot be counted|estimating, cheek|6–8|0
114|I|Arrive neither walking nor riding|rule-bending wit|6–8|0
115|I|Arrive neither dressed nor undressed|literal-mindedness as a weapon|6–8|0
116|I|Arrive neither by day nor by night|finding the third option|6–8|0
117|I|Do the chore and also not do it|paradox play|6–8|0
118|I|Eat the food and return it whole|cleverness|6–8|0
119|I|Bring a present that is also not a present|wit|6–8|0
120|I|Bring your best friend, worst enemy and greatest comfort at once|insight into people|9–12|0
121|I|Straighten a curled hair, or split one|futility, knowing when to stop|6–8|0
122|I|Catch a sound, or bottle a noise|imagination|3–5|0
123|I|Sell the animal and keep it too|loophole reasoning|9–12|0
124|I|Bring something that only ever grows, and something that only shrinks|abstraction|9–12|0
